content_id,feature_name,feature,label
0Rr8A,hotness=30,64,157
0Rr8A,lifetime=20,71,157
0Rr8A,Time=21,14,157
0Rr8A,categories=fotball,41,157
0Rr8A,tags=mushaga bakenga,3074,157
0Rr8A,tags= tore reginiussen,2118,157
0Rr8A,tags= sarpsborg,1812,157
0Rr8A,tags= nicklas bendtner,1490,157
0Rr8A,tags= kjetil kroksæter,1104,157
0Rr8A,tags= rosenborg bk,1764,157
0RrOJ,hotness=30,64,158
0RrOJ,lifetime=20,71,158
0RrOJ,Time=11,3,158
0RrOJ,categories=vintersport,60,158
0RrOJ,tags=hopp,2773,158
0RrOJ,tags= holmenkollen,883,158
0RrOJ,tags= fis,658,158
0Rrg6,hotness=40,65,159
0Rrg6,lifetime=20,71,159
0Rrg6,Time=8,22,159
0Rrg6,categories=fotball,41,159
0Rrg6,tags=manchester city,3005,159
0Rrg6,tags= engelsk fotball,573,159
0Rrg6,tags= manchester united,1316,159
0Rrg6,tags= liverpool fc,1271,159
0Rrg6,tags= premier league,1663,159
1aK7e,hotness=60,67,217
1aK7e,lifetime=40,72,217
1aK7e,Time=18,10,217
1aK7e,categories=verden,59,217
1aK7e,tags=marine le pen,3010,217
1aK7e,tags= donald trump,503,217
1aK7e,tags= presidentvalget i frankrike,1665,217
1aK7e,tags= brexit,352,217
0Rr7G,hotness=40,65,156
0Rr7G,lifetime=40,72,156
0Rr7G,Time=17,9,156
0Rr7G,categories=fotball,41,156
0Rr7G,tags=lionel messi,2974,156
0Rr7G,tags= teheran,2060,156
0Rr7G,tags= barcelona,240,156
0Rr7G,tags= argentina,175,156
0Rr7G,tags= iran,966,156
1lr9e,hotness=30,64,290
1lr9e,lifetime=20,71,290
1lr9e,Time=18,10,290
1lr9e,categories=verden,59,290
1lr9e,tags=,74,290
26oea,hotness=40,65,366
26oea,lifetime=20,71,366
26oea,Time=17,9,366
26oea,categories=sykkel,58,366
26oea,tags=alexander kristoff,2373,366
0RWrJ,hotness=60,67,116
0RWrJ,lifetime=40,72,116
0RWrJ,Time=18,10,116
0RWrJ,categories=norge,50,116
0RWrJ,categories= politikk,29,116
0RWrJ,tags=siv jensen,3316,116
0RWrJ,tags= stortingsvalg 2017,1980,116
0RWrJ,tags= fremskrittspartiets landsmøte 2017,740,116
0RWrJ,tags= politikk,1653,116
26oqB,hotness=40,65,367
26oqB,lifetime=20,71,367
26oqB,Time=5,19,367
26oqB,categories=verden,59,367
26oqB,tags=brann,2484,367
26oqB,tags= stockholm,1973,367
3AVeM,hotness=40,65,450
3AVeM,lifetime=20,71,450
3AVeM,Time=11,3,450
3AVeM,categories=verden,59,450
3AVeM,tags=bangkok,2427,450
3AVeM,tags= fly,675,450
26P5G,hotness=40,65,335
26P5G,lifetime=20,71,335
26P5G,Time=18,10,335
26P5G,categories=kultur,45,335
26P5G,tags=musikk,3075,335
26P5G,tags= russland,1776,335
26P5G,tags= ukraina,2201,335
26P5G,tags= kiev,1089,335
26P5G,tags= eurovision song contest,603,335
26P5G,tags= tv,2178,335
26P5G,tags= konflikt,1132,335
4pr86,hotness=40,65,683
4pr86,lifetime=40,72,683
4pr86,Time=20,13,683
4pr86,categories=fotball,41,683
4pr86,tags=kåre ingebrigtsen,2941,683
4pr86,tags= mushaga bakenga,1439,683
4pr86,tags= eliteserien,558,683
4pr86,tags= sarpsborg 08,1813,683
4pr86,tags= nicklas bendtner,1490,683
4pr86,tags= sarpsborg,1812,683
4pr86,tags= fredrik midtsjø,736,683
4prV9,hotness=40,65,684
4prV9,lifetime=20,71,684
4prV9,Time=9,23,684
4prV9,categories=osloby,52,684
4prV9,tags=vær,3572,684
4prV9,tags= 1. mai,75,684
5Xrlz,hotness=40,65,808
5Xrlz,lifetime=20,71,808
5Xrlz,Time=15,7,808
5Xrlz,categories=verden,59,808
5Xrlz,tags=donald trump,2569,808
78B0o,hotness=40,65,961
78B0o,lifetime=40,72,961
78B0o,Time=9,23,961
78B0o,categories=meninger,47,961
78B0o,categories= sid,30,961
78B0o,tags=sosiale medier,3355,961
78B0o,tags= bursdag,374,961
78B0o,tags= ensomhet,576,961
84XvQ,hotness=40,65,1183
84XvQ,lifetime=20,71,1183
84XvQ,Time=9,23,1183
84XvQ,categories=fotball,41,1183
84XvQ,tags=slaget om sørlandet,3342,1183
84XvQ,tags= arendal fotball,173,1183
1lrJl,hotness=40,65,291
1lrJl,lifetime=40,72,291
1lrJl,Time=20,13,291
1lrJl,categories=fotball,41,291
1lrJl,tags=eliteserien,2596,291
1lrJl,tags= sarpsborg 08,1813,291
1lrJl,tags= rosenborg bk,1764,291
78jmB,hotness=40,65,1014
78jmB,lifetime=40,72,1014
78jmB,Time=16,8,1014
78jmB,categories=andreidretter,34,1014
78jmB,tags=bjerkreim kommune,2464,1014
78jmB,tags= sprek,1932,1014
78jmB,tags= oslo,1590,1014
78jmB,tags= løping,1295,1014
78jmB,tags= sentrumsløpet,1837,1014
78BzB,hotness=50,66,962
78BzB,lifetime=20,71,962
78BzB,Time=18,10,962
78BzB,categories=okonomi,51,962
78BzB,tags=frihandel,2700,962
78BzB,tags= brexit,352,962
78BzB,tags= verdensøkonomien,2252,962
78j4W,hotness=40,65,1013
78j4W,lifetime=20,71,1013
78j4W,Time=9,23,1013
78j4W,categories=verden,59,1013
78j4W,tags=,74,1013
84Xx1,hotness=40,65,1184
84Xx1,lifetime=20,71,1184
84Xx1,Time=7,21,1184
84Xx1,categories=vintersport,60,1184
84Xx1,tags=ol,3141,1184
84Xx1,tags= aksel lund svindal,113,1184
84Xx1,tags= alpint,134,1184
AKx9x,hotness=10,62,1572
AKx9x,lifetime=20,71,1572
AKx9x,Time=13,5,1572
AKx9x,categories=kultur,45,1572
AKx9x,tags=,74,1572
BQ6d7,hotness=40,65,1591
BQ6d7,lifetime=20,71,1591
BQ6d7,Time=17,9,1591
BQ6d7,categories=fotball,41,1591
BQ6d7,tags=slaget om sørlandet,3342,1591
E1Bga,hotness=10,62,1735
E1Bga,lifetime=20,71,1735
E1Bga,Time=14,6,1735
E1Bga,categories=kultur,45,1735
E1Bga,tags=,74,1735
GW629,hotness=40,65,1903
GW629,lifetime=20,71,1903
GW629,Time=14,6,1903
GW629,categories=norge,50,1903
GW629,tags=sør-vest politidistrikt,3427,1903
GW629,tags= ulykker,2205,1903
E1BjP,hotness=30,64,1736
E1BjP,lifetime=20,71,1736
E1BjP,Time=6,20,1736
E1BjP,categories=fotball,41,1736
E1BjP,tags=color line,2532,1736
E1BjP,tags= ålesund,2329,1736
E1BjP,tags= bård flovik,385,1736
E1BjP,tags= gjermund åsen,789,1736
E1BjP,tags= simen wangberg,1851,1736
GW6g9,hotness=40,65,1907
GW6g9,lifetime=20,71,1907
GW6g9,Time=18,10,1907
GW6g9,categories=sykkel,58,1907
GW6g9,tags=rasisme,3231,1907
GW6g9,tags= sykkel-vm,2024,1907
GW6qx,hotness=40,65,1908
GW6qx,lifetime=20,71,1908
GW6qx,Time=9,23,1908
GW6qx,categories=ballsport,35,1908
GW6qx,tags=roger federer,3266,1908
GW6qx,tags= novak djokovic,1531,1908
GW6qx,tags= casper ruud,402,1908
GW6qx,tags= tennis,2068,1908
GWw4l,hotness=50,66,1998
GWw4l,lifetime=40,72,1998
GWw4l,Time=19,11,1998
GWw4l,categories=norge,50,1998
GWw4l,tags=kjell inge røkke,2878,1998
GWw4l,tags= miljø,1400,1998
GWw4l,tags= nina jensen,1495,1998
GWw4l,tags= utslipp,2222,1998
GWw4l,tags= wwf,2316,1998
GWw4l,tags= forsøpling,714,1998
GWw4l,tags= natur,1459,1998
GW6RB,hotness=20,63,1906
GW6RB,lifetime=40,72,1906
GW6RB,Time=19,11,1906
GW6RB,categories=fotball,41,1906
GW6RB,tags=nicklas bendtner,3100,1906
GW6RB,tags= rosenborg bk,1764,1906
AKxX5,hotness=30,64,1573
AKxX5,lifetime=20,71,1573
AKxX5,Time=7,21,1573
AKxX5,categories=norge,50,1573
AKxX5,tags=politiet,3199,1573
AKxX5,tags= russetid,1775,1573
Lr97V,hotness=40,65,2444
Lr97V,lifetime=40,72,2444
Lr97V,Time=20,13,2444
Lr97V,categories=fotball,41,2444
Lr97V,tags=kåre ingebrigtsen,2941,2444
Lr97V,tags= mike jensen,1396,2444
Lr97V,tags= mushaga bakenga,1439,2444
Lr97V,tags= eliteserien,558,2444
Lr97V,tags= sarpsborg 08,1813,2444
Lr97V,tags= nicklas bendtner,1490,2444
Lr97V,tags= rosenborg bk,1764,2444
JmpRP,hotness=60,67,2189
JmpRP,lifetime=20,71,2189
JmpRP,Time=12,4,2189
JmpRP,categories=norge,50,2189
JmpRP,categories= politikk,29,2189
JmpRP,tags=bjørnar moxnes,2468,2189
JmpRP,tags= jonas gahr støre,1038,2189
JmpRP,tags= politikk,1653,2189
JmpRP,tags= 1. mai,75,2189
My9b5,hotness=60,67,2575
My9b5,lifetime=40,72,2575
My9b5,Time=17,9,2575
My9b5,categories=norge,50,2575
My9b5,tags=fremskrittspartiet (frp),2699,2575
My9b5,tags= rødt (r),1785,2575
My9b5,tags= politikk,1653,2575
My9b5,tags= 1. mai,75,2575
LrWWp,hotness=40,65,2486
LrWWp,lifetime=40,72,2486
LrWWp,Time=8,22,2486
LrWWp,categories=andreidretter,34,2486
LrWWp,tags=anders pamer,2385,2486
LrWWp,tags= svømming,2019,2486
PbOqX,hotness=40,65,2900
PbOqX,lifetime=20,71,2900
PbOqX,Time=9,23,2900
PbOqX,categories=sykkel,58,2900
PbOqX,tags=tour de france,3475,2900
Lr9EQ,hotness=30,64,2445
Lr9EQ,lifetime=20,71,2445
Lr9EQ,Time=18,10,2445
Lr9EQ,categories=verden,59,2445
Lr9EQ,tags=,74,2445
QePbq,hotness=10,62,3031
QePbq,lifetime=20,71,3031
QePbq,Time=19,11,3031
QePbq,categories=kultur,45,3031
QePbq,tags=hollywood,2768,3031
QePbq,tags= tv-anmeldelse,2180,3031
QePbq,tags= marilyn monroe,1325,3031
VAdLl,hotness=40,65,3236
VAdLl,lifetime=20,71,3236
VAdLl,Time=10,2,3236
VAdLl,categories=norge,50,3236
VAdLl,tags=odda,3138,3236
VAdLl,tags= bent høie,271,3236
VAdLl,tags= sykehus,2022,3236
VAdLl,tags= ruth grung,1779,3236
VAdoJ,hotness=30,64,3237
VAdoJ,lifetime=20,71,3237
VAdoJ,Time=8,22,3237
VAdoJ,categories=andreidretter,34,3237
VAdoJ,tags=amalie iuel,2379,3237
WpJdd,hotness=40,65,3372
WpJdd,lifetime=20,71,3372
WpJdd,Time=18,10,3372
WpJdd,categories=okonomi,51,3372
WpJdd,tags=expert,2626,3372
WpJdd,tags= sykkel,2023,3372
XX91b,hotness=50,66,3484
XX91b,lifetime=40,72,3484
XX91b,Time=10,2,3484
XX91b,categories=amagasinet,33,3484
XX91b,tags=fornybar energi,2678,3484
XX91b,tags= vindkraft,2276,3484
XXz7x,hotness=40,65,3558
XXz7x,lifetime=40,72,3558
XXz7x,Time=19,11,3558
XXz7x,categories=fotball,41,3558
XXz7x,tags=eliteserien,2596,3558
XXz7x,tags= sarpsborg 08,1813,3558
XXz7x,tags= rosenborg bk,1764,3558
Oxlq3,hotness=40,65,2788
Oxlq3,lifetime=20,71,2788
Oxlq3,Time=9,23,2788
Oxlq3,categories=norge,50,2788
Oxlq3,tags=lillehammer,2968,2788
Oxlq3,tags= vold,2287,2788
XXzBE,hotness=30,64,3559
XXzBE,lifetime=20,71,3559
XXzBE,Time=14,6,3559
XXzBE,categories=verden,59,3559
XXzBE,tags=presidentvalget i frankrike,3210,3559
XXzBE,tags= 1. mai,75,3559
Lr9kJ,hotness=30,64,2447
Lr9kJ,lifetime=20,71,2447
Lr9kJ,Time=6,20,2447
Lr9kJ,categories=osloby,52,2447
Lr9kJ,tags=oslo,3159,2447
Lr9kJ,tags= politiet,1652,2447
Lr9kJ,tags= 1. mai,75,2447
WpJ52,hotness=60,67,3371
WpJ52,lifetime=40,72,3371
WpJ52,Time=18,10,3371
WpJ52,categories=fotball,41,3371
WpJ52,tags=eliteserien,2596,3371
WpJ52,tags= rosenborg bk,1764,3371
XXzeB,hotness=20,63,3560
XXzeB,lifetime=20,71,3560
XXzeB,Time=8,22,3560
XXzeB,categories=fotball,41,3560
XXzeB,tags=eliteserien,2596,3560
XXzeB,tags= aalesund fk,85,3560
XXzpr,hotness=40,65,3561
XXzpr,lifetime=20,71,3561
XXzpr,Time=9,23,3561
XXzpr,categories=verden,59,3561
XXzpr,tags=,74,3561
az83O,hotness=40,65,3620
az83O,lifetime=40,72,3620
az83O,Time=19,11,3620
az83O,categories=idrettspolitikk,42,3620
az83O,tags=ol,3141,3620
dKGbo,hotness=30,64,3874
dKGbo,lifetime=20,71,3874
dKGbo,Time=9,23,3874
dKGbo,categories=ballsport,35,3874
dKGbo,tags=basketball,2443,3874
